x,y,z
1.065718803,-0.120077671,0.899902654
0.899902654,0,1.07246222
0.891144863,0.125242243,1.07246222
0.865041951,0.248046788,1.07246222
0.822101981,0.366023384,1.07246222
0.763160732,0.476875752,1.07246222
0.689365427,0.578446276,1.07246222
0.602152408,0.668758,1.07246222
0.503219178,0.746053111,1.07246222
0.394491358,0.808827147,1.07246222
0.278085213,0.855858283,1.07246222
0.156266456,0.88623111,1.07246222
0.03140615,0.899354457,1.07246222
-0.094065441,0.894972893,1.07246222
-0.217706156,0.873171699,1.07246222
-0.337109467,0.834375211,1.07246222
-0.449951327,0.779338559,1.07246222
-0.554035395,0.709132968,1.07246222
-0.647335795,0.625124911,1.07246222
-0.72803654,0.528949508,1.07246222
-0.794566882,0.422478705,1.07246222
-0.845631883,0.307784835,1.07246222
-0.880237621,0.187100282,1.07246222
-0.897710536,0.062774036,1.07246222
-0.897710536,-0.062774036,1.07246222
-0.880237621,-0.187100282,1.07246222
-0.845631883,-0.307784835,1.07246222
-0.794566882,-0.422478705,1.07246222
-0.72803654,-0.528949508,1.07246222
-0.647335795,-0.625124911,1.07246222
-0.554035395,-0.709132968,1.07246222
-0.449951327,-0.779338559,1.07246222
-0.337109467,-0.834375211,1.07246222
-0.217706156,-0.873171699,1.07246222
-0.094065441,-0.894972893,1.07246222
0.03140615,-0.899354457,1.07246222
0.156266456,-0.88623111,1.07246222
0.278085213,-0.855858283,1.07246222
0.394491358,-0.808827147,1.07246222
0.503219178,-0.746053111,1.07246222
0.602152408,-0.668758,1.07246222
0.689365427,-0.578446276,1.07246222
0.763160732,-0.476875752,1.07246222
0.822101981,-0.366023384,1.07246222
0.865041951,-0.248046788,1.07246222
0.891144863,-0.125242243,1.07246222
0.7,0,1.212435565
0.689365427,0.121553724,1.212435565
0.657784835,0.2394141,1.212435565
0.606217783,0.35,1.212435565
0.53623111,0.449951327,1.212435565
0.449951327,0.53623111,1.212435565
0.35,0.606217783,1.212435565
0.2394141,0.657784835,1.212435565
0.121553724,0.689365427,1.212435565
4.29E-17,0.7,1.212435565
-0.121553724,0.689365427,1.212435565
-0.2394141,0.657784835,1.212435565
-0.35,0.606217783,1.212435565
-0.449951327,0.53623111,1.212435565
-0.53623111,0.449951327,1.212435565
-0.606217783,0.35,1.212435565
-0.657784835,0.2394141,1.212435565
-0.689365427,0.121553724,1.212435565
-0.7,8.57E-17,1.212435565
-0.689365427,-0.121553724,1.212435565
-0.657784835,-0.2394141,1.212435565
-0.606217783,-0.35,1.212435565
-0.53623111,-0.449951327,1.212435565
-0.449951327,-0.53623111,1.212435565
-0.35,-0.606217783,1.212435565
-0.2394141,-0.657784835,1.212435565
-0.121553724,-0.689365427,1.212435565
-1.29E-16,-0.7,1.212435565
0.121553724,-0.689365427,1.212435565
0.2394141,-0.657784835,1.212435565
0.35,-0.606217783,1.212435565
0.449951327,-0.53623111,1.212435565
0.53623111,-0.449951327,1.212435565
0.606217783,-0.35,1.212435565
0.657784835,-0.2394141,1.212435565
0.689365427,-0.121553724,1.212435565
0.478828201,0,1.315569669
0.462512525,0.123929858,1.315569669
0.414677386,0.2394141,1.315569669
0.338582668,0.338582668,1.315569669
0.2394141,0.414677386,1.315569669
0.123929858,0.462512525,1.315569669
2.93E-17,0.478828201,1.315569669
-0.123929858,0.462512525,1.315569669
-0.2394141,0.414677386,1.315569669
-0.338582668,0.338582668,1.315569669
-0.414677386,0.2394141,1.315569669
-0.462512525,0.123929858,1.315569669
-0.478828201,5.86E-17,1.315569669
-0.462512525,-0.123929858,1.315569669
-0.414677386,-0.2394141,1.315569669
-0.338582668,-0.338582668,1.315569669
-0.2394141,-0.414677386,1.315569669
-0.123929858,-0.462512525,1.315569669
-8.80E-17,-0.478828201,1.315569669
0.123929858,-0.462512525,1.315569669
0.2394141,-0.414677386,1.315569669
0.338582668,-0.338582668,1.315569669
0.414677386,-0.2394141,1.315569669
